start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
1.53.169.64,1.53.169.239,1.53.0.0,Ho Chi Minh City,Ho Chi Minh,VN,10.82302,106.62965,71606,Asia/Ho_Chi_Minh
105.67.0.205,105.67.0.205,105.67.0.0,Marrakesh,Marrakesh-Safi,MA,31.63416,-7.99994,,Africa/Casablanca
106.220.221.216,106.220.221.219,106.220.0.0,Vite,Maharashtra,IN,17.33078,74.8734,415306,Asia/Kolkata
102.168.162.27,102.168.162.28,102.168.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
101.173.94.200,101.173.94.237,101.173.0.0,Melbourne,Victoria,AU,-37.7693,145.04797,3079,Australia/Melbourne
104.161.134.68,104.161.134.69,104.161.0.0,Osaka,Ōsaka,JP,34.69374,135.50218,543-0062,Asia/Tokyo
102.170.50.23,102.170.50.23,102.170.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
1.112.60.120,1.112.60.123,1.112.0.0,Osaka,Ōsaka,JP,34.7108,135.5937,538-0031,Asia/Tokyo
101.173.238.164,101.173.238.164,101.173.0.0,Moss Vale,New South Wales,AU,-34.55374,150.37115,2577,Australia/Sydney
101.165.227.208,101.165.227.209,101.165.0.0,Paynesville,Victoria,AU,-37.91886,147.71944,3880,Australia/Melbourne
103.188.120.0,103.188.121.255,103.188.0.0,Taipei,Taiwan,TW,25.04776,121.53185,,Asia/Taipei
1.28.252.120,1.28.252.121,1.28.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
102.169.86.227,102.169.86.227,102.169.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
102.169.23.134,102.169.23.134,102.169.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
