start_ip,end_ip,join_key,asn,domain,name,type,country
2604:4780::,2604:4780:3fff:ffff:ffff:ffff:ffff:ffff,2604:4780::,AS6994,fastmetrics.com,Fastmetrics,business,US
12.166.47.0,12.166.59.255,12.166.0.0,AS7018,att.com,"AT&T Services, Inc.",isp,US
2a07:7343:4000::,2a07:7343:7fff:ffff:ffff:ffff:ffff:ffff,2a07:7343:4000::,AS34549,meerfarbig.net,meerfarbig GmbH & Co. KG,isp,DE
2a04:4880:8000::,2a04:4880:bfff:ffff:ffff:ffff:ffff:ffff,2a04:4880:8000::,AS56450,alberon.cz,Alberon Letohrad s.r.o,isp,CZ
169.155.64.0,169.155.87.255,169.155.0.0,AS18722,supervalu.com,"SUPERVALU, Inc.",business,US
193.104.41.0,193.104.41.255,193.104.0.0,AS207886,ecomp.eu,ECOMP spol s r.o.,business,CZ
2a0f:8787:4000::,2a0f:8787:7fff:ffff:ffff:ffff:ffff:ffff,2a0f:8787:4000::,AS208108,greece-telecom.gr,GREECE TELECOM I.K.E.,isp,GR
2a02:a004:c000::,2a02:a004:ffff:ffff:ffff:ffff:ffff:ffff,2a02:a004:c000::,AS5432,proximus.com,Proximus NV,isp,BE
2a0c:5642:8000::,2a0c:5642:bfff:ffff:ffff:ffff:ffff:ffff,2a0c:5642:8000::,AS203498,realtymsa.com,MSA Realty LLC,business,RU
198.169.115.0,198.169.115.255,198.169.0.0,AS399844,sasktel.com,Saskatchewan Telecommunications,isp,CA
2001:88cd:c000::,2001:88cd:ffff:ffff:ffff:ffff:ffff:ffff,2001:88cd:c000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2a0e:ac84:8000::,2a0e:ac84:bfff:ffff:ffff:ffff:ffff:ffff,2a0e:ac84:8000::,AS35600,vedege.net,Vedege SAS,business,FR
2a0b:8c80:c000::,2a0b:8c80:ffff:ffff:ffff:ffff:ffff:ffff,2a0b:8c80:c000::,AS206420,kabelservis.cz,KABEL servis Praha spol. s r.o.,isp,CZ
2603:f6a3:c000::,2603:f6a3:ffff:ffff:ffff:ffff:ffff:ffff,2603:f6a3:c000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
240c:c897:8000::,240c:c897:bfff:ffff:ffff:ffff:ffff:ffff,240c:c897:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2a00:4582:4000::,2a00:4582:7fff:ffff:ffff:ffff:ffff:ffff,2a00:4582:4000::,AS3226,mark.ru,OOO NI,isp,RU
63.141.64.0,63.141.127.255,63.141.0.0,AS14164,verizonbusiness.com,Verizon Business,isp,US
2a11:3882:c000::,2a11:3882:ffff:ffff:ffff:ffff:ffff:ffff,2a11:3882:c000::,AS34734,falco-networks.com,A&F Networks B.V.,business,NL
59.144.250.0,59.144.255.255,59.144.0.0,AS24560,airtel.com,"Bharti Airtel Ltd., Telemedia Services",isp,IN
2603:f2d7:8000::,2603:f2d7:bfff:ffff:ffff:ffff:ffff:ffff,2603:f2d7:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a03:3e00:4000::,2a03:3e00:7fff:ffff:ffff:ffff:ffff:ffff,2a03:3e00:4000::,AS50469,hessenkom.de,Peer Kohlstetter trading as Hessenkom GmbH & Co. KG,isp,DE
2601:748::,2601:748:3fff:ffff:ffff:ffff:ffff:ffff,2601:748::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2a02:9172:4000::,2a02:9172:7fff:ffff:ffff:ffff:ffff:ffff,2a02:9172:4000::,AS3352,movistar.es,TELEFONICA DE ESPANA S.A.U.,isp,ES
240a:c04b:c000::,240a:c04b:ffff:ffff:ffff:ffff:ffff:ffff,240a:c04b:c000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2a06:2bc1:c000::,2a06:2bc1:ffff:ffff:ffff:ffff:ffff:ffff,2a06:2bc1:c000::,AS204171,td-k.dk,TD-K A/S,business,DK
2a0f:3cc1:8000::,2a0f:3cc1:bfff:ffff:ffff:ffff:ffff:ffff,2a0f:3cc1:8000::,AS207936,delightfiber.net,Konstantin Verba,business,GB
193.186.14.0,193.186.14.255,193.186.0.0,AS35415,webzilla.com,Webzilla B.V.,hosting,NL
2601:892::,2601:892:3fff:ffff:ffff:ffff:ffff:ffff,2601:892::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2600:140f:5401::,2600:140f:57ff:ffff:ffff:ffff:ffff:ffff,2600:140f:4000::,AS20940,akamai.com,Akamai International B.V.,isp,NL
